skill_id,esco_concept_uri,skill_name,skill_type,reuse_level
000f1d3d-220f-4789-9c0a-cc742521fb02,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,knowledge,sector-specific
0023e7a5-43da-4b68-bee3-726ef21f986d,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic principles,skill/competence,cross-sector
00920055-eb50-4cb8-a23d-3deedbf3753e,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,enterprise risk management,knowledge,sector-specific
009db49b-fcf5-4409-b4a5-232d059f3597,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,apply credit risk policy,skill/competence,cross-sector
00b9a3aa-7070-4bb5-8020-f228a97cf42f,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,skill/competence,cross-sector
00c04e40-35ea-4ed1-824c-82f936c8f876,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental development,knowledge,sector-specific
00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction,skill/competence,sector-specific
013441c1-1f13-47e9-80c4-9a53e8e1bc05,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,knowledge,sector-specific
0138fdc7-edbb-485c-9aa9-544f723eb62f,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,purchase vehicle parts,skill/competence,sector-specific
0167ee96-f478-4383-afe6-aabf387da5b3,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,liaise with typists,skill/competence,cross-sector
01895f13-1989-4756-80d6-9b9ee19ddb32,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,perform a feasibility study for building management systems,skill/competence,sector-specific
0189f448-179e-47cc-9716-c5c3ac4b1aec,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),knowledge,sector-specific
01d269d9-b058-4d6c-82a0-3779af9a124b,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,develop blockchain innovative architectures,skill/competence,cross-sector
01e7dee7-3ff1-4807-acad-058dbed91aba,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,skill/competence,sector-specific
02058de6-4b98-449f-8a45-8588b0eb2446,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,network engineering,knowledge,sector-specific
020918ef-4b55-47c1-8430-ab7b8f6a7377,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,skill/competence,sector-specific
020b3c27-bae1-4b85-9d6f-eccee0f5ed99,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,skill/competence,cross-sector
022dc430-872a-473a-9cf4-fed4895e58ad,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,skill/competence,sector-specific
023f4870-b417-4bd2-b0ae-78e61587c79f,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,knowledge,cross-sector
024037ca-96a9-4cb8-ba86-2cd5a209c90a,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,knowledge,sector-specific
02820870-3b92-480b-8475-8a521563ea3c,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,collect property financial information,skill/competence,sector-specific
0295b2a4-fb86-495f-9547-d479532fc4c2,http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,trace financial transactions,skill/competence,cross-sector
02c71cde-f513-43da-8952-0974763c7568,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpret circuit diagrams,skill/competence,sector-specific
032b0bed-22b1-456b-8009-91e6b838fe45,http://data.europa.eu/esco/skill/032b0bed-22b1-456b-8009-91e6b838fe45,geological mapping,knowledge,sector-specific
034c29fa-c3ba-45ea-b8f3-bf8e3705e386,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,knowledge,sector-specific
03a0ab28-ce99-4e14-baf8-a66c55da28f8,http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,carry out event management,skill/competence,cross-sector
03a74eee-2dc6-4147-8667-5cdeb65f122d,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,skill/competence,sector-specific
03b9b491-fc9b-4868-914a-bf7cd47b5041,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,skill/competence,cross-sector
03bc5f23-4317-41c2-9528-2db5c3c87b85,http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,analyse cultural trends,skill/competence,cross-sector
03d93b02-a461-4815-a4c0-b46451afc1c2,http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,manage claim files,skill/competence,sector-specific
03f922b0-d518-457d-8f2c-80252a714be1,http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,criminology,knowledge,cross-sector
