project_domain,project_type,project_complexity,project_criticality,role_required,team_size_required,estimated_hours,deadline_days,priority,skill_match_pct,critical_skill_match_pct,skill_level_match_pct,experience_match_pct,domain_match,role_match,critical_project_experience,performance_score,current_workload_pct,availability_pct,reliability_score,collaboration_score,project_success,task_start_date
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,0.0,0.0,0.0,100.0,0,0,5,3,40.82,68.69,62.8,70.3,1,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,20.0,0.0,20.0,4.35,0,0,1,5,4.0,96.72,72.6,78.1,0,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,20.0,0.0,20.0,100.0,0,0,4,1,24.89,78.79,35.0,36.3,0,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,40.0,50.0,40.0,100.0,0,0,0,5,9.74,92.0,65.9,65.5,1,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,20.0,0.0,20.0,100.0,0,0,4,2,34.83,73.82,35.6,53.8,0,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,20.0,0.0,20.0,100.0,0,1,1,1,11.99,88.47,25.9,29.2,0,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,30.0,0.0,30.0,100.0,0,1,4,5,16.09,86.96,81.3,75.2,1,2022-01-05
Logistics,Fraud Detection,Basic,Low,Data Scientist,6,64.0,12,Low,0.0,0.0,0.0,100.0,0,1,3,3,24.73,77.15,39.3,54.2,0,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,70.0,100.0,70.0,100.0,0,1,2,5,44.95,64.36,76.8,80.9,1,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,30.0,0.0,30.0,100.0,0,0,1,3,21.73,76.79,41.2,72.0,1,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,10.0,0.0,10.0,100.0,0,1,1,2,15.36,85.07,44.4,47.1,0,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,20.0,0.0,20.0,100.0,0,0,4,3,18.54,79.39,55.8,50.7,0,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,30.0,0.0,30.0,100.0,0,0,0,1,30.72,78.22,29.9,34.5,0,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,40.0,0.0,30.0,100.0,0,0,0,1,19.87,87.01,38.4,60.5,0,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,0.0,0.0,0.0,100.0,0,0,5,5,12.73,80.72,67.8,59.9,1,2022-01-05
SaaS,Testing/QA,Basic,Low,QA Engineer,6,54.5,9,Medium,40.0,0.0,40.0,100.0,1,0,3,3,28.44,73.06,46.8,55.8,0,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,0.0,0.0,0.0,76.84,0,0,1,5,8.05,88.2,74.4,81.2,1,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,50.0,100.0,50.0,100.0,0,0,2,1,29.79,77.99,31.6,38.4,0,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,100.0,100.0,100.0,34.52,0,0,0,4,6.17,91.08,59.9,47.5,1,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,0.0,0.0,0.0,100.0,0,1,1,3,29.41,80.16,69.5,67.1,1,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,0.0,0.0,0.0,100.0,0,0,3,4,18.72,79.65,70.1,74.1,1,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,50.0,100.0,50.0,100.0,0,0,5,1,21.14,75.62,30.7,37.4,1,2022-01-05
Media,Web Application,Moderate,Low,QA Engineer,8,135.5,32,High,50.0,100.0,50.0,100.0,0,0,4,4,31.83,75.43,73.0,73.1,1,2022-01-05
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,25.0,100.0,12.5,100.0,0,0,1,1,29.04,76.43,21.5,33.9,0,2022-01-06
Insurance,Database Migration,Moderate,Medium,Backend Developer,5,132.8,27,Low,25.0,0.0,25.0,35.32,0,1,0,3,9.73,83.8,39.9,59.3,0,2022-01-06
Insurance,Database Migration,Moderate,Medium,Backend Developer,5,132.8,27,Low,25.0,0.0,0.0,18.76,0,1,3,5,17.04,80.41,63.9,54.5,0,2022-01-06
Insurance,Database Migration,Moderate,Medium,Backend Developer,5,132.8,27,Low,0.0,0.0,0.0,100.0,0,1,6,4,28.27,73.1,62.6,79.8,0,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,37.5,100.0,37.5,100.0,1,0,4,2,30.14,75.73,42.9,44.7,1,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,50.0,0.0,50.0,100.0,0,0,1,5,32.78,72.28,76.6,73.8,1,2022-01-06
Insurance,Database Migration,Moderate,Medium,Backend Developer,5,132.8,27,Low,25.0,0.0,25.0,100.0,0,1,2,4,28.3,82.64,69.4,68.3,0,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,12.5,100.0,12.5,100.0,1,0,4,3,17.41,85.05,58.5,50.6,1,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,75.0,100.0,75.0,100.0,1,0,11,5,26.01,69.94,75.9,84.6,1,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,12.5,0.0,12.5,100.0,0,0,5,2,44.39,63.45,36.5,41.2,0,2022-01-06
SaaS,Testing/QA,Basic,Low,Software Engineer,8,174.5,29,Low,37.5,100.0,37.5,100.0,0,0,3,5,32.76,70.26,63.5,78.5,1,2022-01-06
FinTech,Fraud Detection,Advanced,Low,ML Engineer,4,203.0,58,Low,12.5,0.0,12.5,86.24,0,0,5,5,35.19,69.77,71.3,76.3,0,2022-01-08
FinTech,Fraud Detection,Advanced,Low,ML Engineer,4,203.0,58,Low,37.5,0.0,25.0,100.0,1,0,1,2,44.76,57.57,40.2,68.3,0,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,20.0,0.0,20.0,100.0,0,0,1,2,25.65,78.99,31.8,51.6,0,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,20.0,0.0,20.0,100.0,1,0,0,5,19.87,87.88,89.5,78.0,1,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,40.0,0.0,40.0,100.0,0,0,2,5,13.68,86.76,73.8,60.8,1,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,80.0,100.0,80.0,100.0,0,0,2,2,33.16,76.68,36.9,38.2,0,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,20.0,0.0,20.0,100.0,0,1,0,1,38.2,72.76,37.5,42.8,0,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,60.0,100.0,40.0,100.0,0,0,1,1,15.17,83.1,28.2,65.7,1,2022-01-08
Government,Monitoring,Basic,Low,Network Engineer,6,51.5,10,Low,20.0,0.0,20.0,100.0,0,0,9,5,47.94,58.95,72.2,84.1,0,2022-01-08
FinTech,Fraud Detection,Advanced,Low,ML Engineer,4,203.0,58,Low,25.0,0.0,25.0,72.97,0,1,2,5,11.99,85.51,74.5,75.9,1,2022-01-08
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,66.67,50.0,33.33,100.0,0,1,1,4,36.53,74.35,78.4,69.7,0,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,100.0,100.0,0.0,36.01,1,0,3,4,30.51,73.38,65.0,84.1,1,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,100.0,100.0,100.0,100.0,0,0,8,5,34.63,71.57,74.3,88.7,1,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,33.33,50.0,0.0,72.61,0,0,1,1,9.18,90.78,36.6,50.5,0,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,33.33,0.0,33.33,47.82,0,1,2,5,13.29,87.39,70.8,86.3,0,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,100.0,100.0,66.67,34.83,1,0,7,4,29.39,78.68,67.8,72.0,0,2022-01-09
Retail,Cybersecurity,Advanced,High,Systems Administrator,6,272.4,55,Medium,100.0,100.0,0.0,40.73,0,0,3,3,34.28,69.77,43.8,52.3,0,2022-01-09
Manufacturing,Machine Learning,Moderate,Medium,Data Engineer,4,302.5,67,Medium,50.0,100.0,33.33,100.0,0,0,1,4,9.56,83.16,54.5,67.1,1,2022-01-10
Manufacturing,Machine Learning,Moderate,Medium,Data Engineer,4,302.5,67,Medium,16.67,0.0,16.67,96.61,0,0,2,2,19.83,78.69,40.0,47.4,0,2022-01-10
Manufacturing,Machine Learning,Moderate,Medium,Data Engineer,4,302.5,67,Medium,50.0,100.0,50.0,100.0,0,0,3,3,30.35,70.99,56.4,59.6,0,2022-01-10
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,33.33,0.0,33.33,100.0,0,1,3,3,33.9,72.2,56.6,50.9,1,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,66.67,50.0,50.0,66.57,0,1,2,3,42.88,66.62,47.0,56.8,1,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,33.33,50.0,33.33,100.0,0,1,0,5,15.93,88.07,81.8,71.8,1,2022-01-11
Media,Web Application,Moderate,Low,Software Engineer,8,151.6,25,Medium,83.33,100.0,83.33,100.0,0,1,2,4,15.93,85.52,67.5,78.3,1,2022-01-11
