employee_id,Department,Job_Title,Years_At_Company,Education_Level,Performance_Score,Projects_Handled,esco_occupation,reliability_score,collaboration_score,critical_project_experience,capacity_week,baseline_load,esco_occupation_uri,isco_group,domain_experience,skill_count,assignments_in_dataset
65138,Legal,Engineer,7,Bachelor,2,4,contract engineer,34.9,44.3,0,58.6189376443418,0.4048979591836735,http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4,2149,Government|Manufacturing|SaaS,20,1
46906,IT,Technician,4,High School,1,12,ICT system tester,37.5,59.0,4,46.23325635103926,0.3296938775510204,http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440,2519,Banking|E-commerce|Media|SaaS|Telecom,17,10
28671,IT,Developer,3,Bachelor,5,27,database developer,73.8,86.6,1,58.38568129330254,0.7080612244897959,http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,2521,Healthcare|Technology|Travel,70,12
30777,Customer Support,Consultant,7,Bachelor,5,25,customer experience manager,79.9,67.0,3,34.38568129330254,0.3256122448979592,http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072,2431,Insurance|Technology|Telecom,41,1
76811,Engineering,Manager,0,High School,4,42,enterprise architect,53.8,58.2,4,39.466512702078525,0.5164285714285715,http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,2511,Technology,56,11
7787,Legal,Specialist,1,Bachelor,3,37,legal policy officer,48.9,56.7,1,56.0,0.8053061224489797,http://data.europa.eu/esco/occupation/5d601b40-7e0e-404e-bbff-bb98e147437c,2422,Education,14,0
27264,Engineering,Specialist,8,Bachelor,1,44,data warehouse designer,22.5,26.0,5,52.46189376443418,0.8238775510204082,http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84,2521,FinTech|SaaS,52,14
83809,Engineering,Engineer,0,High School,3,33,integration engineer,49.5,60.0,2,57.61662817551963,0.7604081632653061,http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212,2511,Energy|Manufacturing|SaaS,39,14
62846,Finance,Specialist,6,Bachelor,2,37,financial markets back office administrator,34.0,36.4,5,42.311778290993075,0.5203061224489797,http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a,4312,Education|Energy|Telecom,18,0
93742,Engineering,Analyst,7,High School,5,7,ICT system analyst,74.6,66.3,0,41.84988452655889,0.18357142857142858,http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,2511,Technology,60,6
52974,IT,Manager,4,Bachelor,2,19,ICT help desk manager,36.9,49.9,2,40.3094688221709,0.33326530612244903,http://data.europa.eu/esco/occupation/1242d99a-47f1-4a62-b884-33746db8a6ca,3512,Banking|Energy|Technology,17,0
27130,IT,Consultant,4,High School,1,37,ICT research consultant,22.0,41.8,0,38.00230946882217,0.49030612244897964,http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31,2511,Media,53,8
49115,HR,Manager,0,Bachelor,2,26,corporate training manager,39.0,51.8,0,44.46420323325635,0.45683673469387753,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,1212,Education,50,0
11822,IT,Manager,8,High School,2,14,ICT project manager,48.0,58.7,1,57.0,0.5621428571428572,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,1330,Government|SaaS|Technology|Telecom,41,4
30686,IT,Technician,3,Master,2,26,ICT network technician,39.1,49.4,1,58.46420323325635,0.6668367346938775,http://data.europa.eu/esco/occupation/64c7d461-152c-477f-a8e2-c2c537e9d617,3513,E-commerce|Energy|Travel,27,2
59614,IT,Engineer,9,Bachelor,2,15,ICT system architect,43.5,47.9,2,40.38568129330254,0.3033673469387755,http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae,2511,E-commerce,52,14
7855,Operations,Engineer,4,High School,2,23,process engineer,26.6,35.4,0,54.15473441108545,0.6031632653061224,http://data.europa.eu/esco/occupation/b5eaf231-77ad-4a86-8e54-15cc4398aad2,2141,E-commerce|Energy|Healthcare,15,2
