task_id,skill_id,skill_name,skill_type,required_level,is_critical
TSK000001,f7e2eb04-3e50-4561-bce1-7e51a1fec308,define software architecture,skill/competence,3,1
TSK000001,d9e5349e-8791-49c2-8ba4-839fdd1606c2,define technical requirements,skill/competence,3,0
TSK000002,98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,2,0
TSK000002,09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,knowledge,1,0
TSK000002,b16bcbcb-1d3f-42b3-a6a5-b91348a72b70,WildFly,knowledge,3,0
TSK000002,def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,knowledge,2,0
TSK000002,c5646d72-c082-44fd-b47e-c4b0ec59ebbd,ensure contract termination and follow-up,skill/competence,4,1
TSK000003,901105f8-3a08-453e-b1dc-23619e317fd3,create flowchart diagram,skill/competence,2,0
TSK000003,8b94aa1e-89c9-459d-b3b4-1dfab8dec2df,use software libraries,skill/competence,3,1
TSK000003,925463a7-d51f-4d5b-9f79-4d28cf30acde,integrated development environment software,knowledge,2,0
TSK000003,04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,skill/competence,2,0
TSK000003,0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,skill/competence,2,0
TSK000003,6014921e-1d25-4039-adc2-04852d61880e,ICT debugging tools,knowledge,3,1
TSK000003,04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,knowledge,2,0
TSK000004,0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies,skill/competence,2,0
TSK000004,f6868852-9bf6-4899-a5d6-5f9532fb877d,design component interfaces,skill/competence,3,1
TSK000004,6e4f75b4-c60f-4623-a9ba-760c8245753b,ICT communications protocols,knowledge,3,0
TSK000004,0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,knowledge,2,0
TSK000004,8369ede5-4200-4a44-be2e-bc60ef959259,Microsoft Visual C++,knowledge,1,0
TSK000005,ffddfc7c-a9dd-449f-9e96-882dc447c8b6,Scala,knowledge,1,0
TSK000005,def007fa-5fed-4a5f-91a2-b0d7e3db1be1,COBOL,knowledge,1,0
TSK000005,37838e04-ac5f-43a5-82d0-35f42351fd60,advise on safety improvements,skill/competence,1,0
TSK000005,d3286405-49f8-4e8a-8046-a4376b4e7963,manage cloud data and storage,skill/competence,4,1
TSK000005,e0daabb6-0950-440c-a25f-f5e1ccf15435,assist in military logistics,skill/competence,1,0
TSK000006,925463a7-d51f-4d5b-9f79-4d28cf30acde,integrated development environment software,knowledge,1,0
TSK000006,21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,knowledge,1,0
TSK000006,ed8de897-adbe-4f0e-b4d2-534953e64c72,integrate system components,skill/competence,1,0
TSK000006,2b7a79e5-84d8-4880-be66-3d9bb05bea17,use software design patterns,skill/competence,2,0
TSK000006,19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),knowledge,2,0
TSK000006,c3a03c5a-c260-4c26-9b9a-873abb396f4d,MATLAB,knowledge,1,0
TSK000006,0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),knowledge,4,1
TSK000006,283cbcd3-7101-4dbb-be37-56f3625515b1,provide ICT consulting advice,skill/competence,1,0
TSK000006,fe29e658-7cad-4b70-a169-10a240ec0bef,work in a logistics team,skill/competence,3,0
TSK000007,d6cdef49-b669-4507-91d1-3f959cf98e47,maintain database performance,skill/competence,3,1
TSK000007,0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,skill/competence,2,0
TSK000007,9cf681c7-89ec-470c-b651-7fe03786f586,query languages,knowledge,3,1
TSK000007,4463a721-69f3-413d-8321-43e3af13a4f1,use databases,skill/competence,3,0
TSK000007,e45507ff-c1e2-4e0c-92fb-b6c0e6cb6245,photovoltaic systems,knowledge,2,0
TSK000008,518dc04d-092d-4fa1-bd82-88b7a9278ef7,manage intellectual property rights,skill/competence,3,0
TSK000008,2b1e2927-3542-48da-9063-02925e7562c1,disseminate results to the scientific community,skill/competence,5,1
TSK000008,46ec0033-3c71-415e-bcff-b065675ba2dc,integrate ICT data,skill/competence,3,0
TSK000008,143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,knowledge,4,0
TSK000008,cc61f9e5-d4fc-470e-8606-1ce865ff8386,develop professional network with researchers and scientists,skill/competence,3,0
TSK000009,9714735d-6f60-440b-bdbc-aaf45ebcbe78,analyse the context of an organisation,skill/competence,5,1
TSK000009,0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,skill/competence,3,0
TSK000009,f7b5d916-52f0-4865-b6a6-e1a3b711cb5e,implement strategic planning,skill/competence,4,1
TSK000009,696e3b5b-8b61-45af-ae4c-3ab700f197ec,information extraction,knowledge,4,0
TSK000009,cc61f9e5-d4fc-470e-8606-1ce865ff8386,develop professional network with researchers and scientists,skill/competence,3,0
TSK000009,96d549bb-3e62-4c45-92a7-f114df089581,analyse supply chain strategies,skill/competence,3,0
TSK000010,3ec2e4d6-7000-4905-bf1a-c5b1679416de,data warehouse,knowledge,3,0
TSK000010,ab1e97ed-2319-4293-a8b7-072d2648822f,database management systems,knowledge,4,1
TSK000010,cb5cccc9-abe4-4b11-abe6-d27e5cd85fb1,manage standards for data exchange,skill/competence,4,1
TSK000010,03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,knowledge,4,0
TSK000010,6c08403c-a5bb-4868-b8c2-b7d039c0e511,design database scheme,skill/competence,3,0
TSK000010,1b7c716e-af95-4cda-a42f-6479c8b139f5,MDX,knowledge,1,0
